"ID_VIT","P_ID_VIT","NAME_VIT_PAL","NAME_VIT_ENG","NAME_VIT_VIE","CONTENT_VIT"
10,,PAṬHAMO BHĀGO,,TẬP 1,
20,,DUTIYO BHĀGO,,TẬP 2,
30,,TATIYO BHĀGO,,TẬP 3,
40,,CATUTTHO BHĀGO,,TẬP 4,
50,,PAÑCAMO BHĀGO,,TẬP 5,
60,,CHATTHO BHĀGO,,TẬP 6,
70,,SATTAMO BHĀGO,,TẬP 7,
80,,AṬṬHAMO BHĀGO,,TẬP 8,
900,,NAVAMO BHĀGO,,TẬP 9,
11,10,VERAÑJAKAṆḌO,,CHƯƠNG VERAÑJĀ,
12,10,PĀRĀJIKAKAṆḌO,,CHƯƠNG PĀRĀJIKA (BẤT CỘNG TRỤ),
13,10,SAṄGHĀDISESAKAṆḌO,,CHƯƠNG SAṄGHĀDISESA (TĂNG TÀNG),
14,10,ANIYATAKAṆḌO,,CHƯƠNG ANIYATA (BẤT ĐỊNH),
15,10,NISSAGGIYAKAṆḌO,,"CHƯƠNG NISSAGGIYA (ƯNG XẢ ĐỐI TRỊ)
",
21,20,PĀCITTIYAKAṆḌO,,CHƯƠNG PĀṬIDESANĪYA (ƯNG ĐỐI TRỊ),
22,20,PĀṬIDESANĪYAKAṆḌO,,CHƯƠNG PĀṬIDESANĪYA (ƯNG PHÁT LỘ),
23,20,SEKHIYAKAṆḌO,,CHƯƠNG SEKHIYA (ƯNG HỌC),
24,20,ADHIKARAṆASAMATHĀ DHAMMĀ,,CÁC PHÁP DÀN XẾP TRANH TỤNG,
31,30,PĀRĀJIKAKAṆḌO,,CHƯƠNG PĀRĀJIKA,
32,30,SAṄGHĀDISESAKAṆḌO,,CHƯƠNG SAṄGHĀDISESA: MƯỜI BẢY ĐIỀU,
33,30,NISSAGGIYĀ,,CÁC ĐIỀU NISSAGGIYA,
34,30,PĀCITTIYAKAṆḌO,,CHƯƠNG PĀCITTIYA,
